,eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
38796,1.99E+16,1989,7,6,,0,,97,Israel,10,Middle East & North Africa,Tel Aviv,Tel-Aviv,31.80255,35.099968,1,1,,,1,1,1,-9,,,0,1,0,8,Unarmed Assault,,,,,19,Transportation,99,Bus (excluding tourists),,Bus passengers,97,Israel,,,,,,,,,,,,,,,,,Palestinians,,,,,,,0,,,0,,,,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,Grabbed control of steering wheel,16,1,0,27,7,0,0,,,,,1,-99,0,,,,Israel,0,,,,,,4,Hostage(s) killed (not during rescue attempt),,,,,,State Department 1997 Document,1,0,0,1,
48502,1.99E+15,1991,10,11,,0,,97,Israel,10,Middle East & North Africa,Tel Aviv,Tel Aviv,32.08297,34.811886,1,0,,,1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,8,Unarmed Assault,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Military,Israeli Soldiers Waiting at Point to hitch rides,97,Israel,,,,,,,,,,,,,,,,,Palestinians,,,,,,,0,,,0,1,,,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,Truck,2,,,11,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,1,0,0,1,
48816,1.99E+15,1991,10,28,,0,,97,Israel,10,Middle East & North Africa,Haifa,Tirat Karmel,32.761303,34.974643,1,0,,,1,1,0,1,1,Insurgency/Guerilla Action,0,0,0,1,Assassination,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Israeli Military,3 female Israeli soldiers,97,Israel,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,2,,,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,Truck,0,,,0,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
52914,1.99E+16,1992,9,8,,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,1,0,,,1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,3,Police,24,Police Checkpoint,Police,Security Roadblock,233,Northern Ireland,,,,,,,,,,,,,,,,,Irish Republican Army (IRA),,,,,,,1,,,0,,,,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,Car,0,,,4,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,0,0,1,1,
53201,1.99E+16,1992,9,29,,0,,161,Poland,9,Eastern Europe,Warsaw,Warsaw,31.530243,35.094162,1,0,,,1,1,1,-9,,,0,1,0,7,Facility/Infrastructure Attack,,,,,7,Government (Diplomatic),46,Embassy/Consulate,U.S. State Dept,"Vehicular Gate, U.S. Embassy",217,United States,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,1,,,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,Vehicle,0,,,0,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,1,1,
55862,1.99E+16,1994,4,7,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Hebron,31.907141,35.198219,1,0,,,1,1,1,-9,,,0,0,0,1,Assassination,,,,,14,Private Citizens & Property,68,Named Civilian,unknown,Ali al-Zaghal and son Mustafa,155,West Bank and Gaza Strip,,,,,,,,,,,,,,,,,Israeli settlers,,,,,,,0,,,0,1,,,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,Vehicle,0,,,2,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,1,0,0,1,
59537,2.00E+16,1995,6,12,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Ramallah,31.771599,35.2034,1,1,,,1,1,0,1,1,Insurgency/Guerilla Action,0,0,0,2,Armed Assault,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",,Soldiers,97,Israel,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,5,Firearms,5,Unknown Gun Type,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,Firearm; Car,1,0,1,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
61751,2.00E+16,1996,2,26,,0,,97,Israel,10,Middle East & North Africa,Jerusalem,Jerusalem,31.889393,34.809902,1,0,,,1,1,1,0,,,0,1,0,8,Unarmed Assault,,,,,19,Transportation,101,Bus Station/Stop,,Bus stop,97,Israel,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,1,,,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,Car,3,,,11,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
69313,2.00E+16,1999,8,10,,0,,97,Israel,10,Middle East & North Africa,Central,Rehovot,32.08297,34.811886,1,1,This inicident occurred near Rehovot.,"08/10/1999: An unnamed Palestinian motorist ran down Israeli soldiers as they were hitch-hiking at a crossroads near a kibbutz located twenty miles west of Jerusalem, Israel. Six Israeli soldiers were wounded, one of them seriously before the attacker, a motorist, was shot dead by Israeli police.",1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,2,Armed Assault,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Israeli Security Forces,Israeli Defence Forces (IDF) soldiers hitch-hiking at a crossroads near a kibbutz twenty miles west of Jerusalem,97,Israel,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,1,0,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,The perpetrator used his car for this attack.,1,0,1,6,0,0,0,,,,,0,,,,,,,,,,,,,,,,"The attacker was Palestinian, from Zone A, controlled by the Palestinian Authority. It was the first Palestinian attack inside Israel since Prime Minister Ehud Barak took office in July 1999.","Six Israeli soldiers wounded in Palestinian attack, attacker shot dead Agence France Press, August 10, 1999.","Heidi J. Gleit, ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½7 wounded by terrorist suicide-driver.",,CETIS,-9,-9,0,-9,
71894,2.00E+16,2001,2,14,,0,,97,Israel,10,Middle East & North Africa,Tel Aviv,Holon,54.607712,-5.95621,1,1,"The incident occurred at the Azur intersection, near the city.","02/14/2001: A Palestinian bus driver, Khalil Abu Elba, steered into a group of young Israeli soldiers and civilians at a crowded bus stop near Tel Aviv, Israel, killing eight people, injuring 17 others. Israeli police shot and captured the perpetrator who fled the scene. Family members of the perpetrator indicated that he was not a member of any militant organization, but Izz-al-Din al-Qassam Battalion, the military wing of HAMAS, said the group was assuming responsibility for the attack.",1,1,1,1,2,Other Crime Type,0,1,0,2,Armed Assault,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Israeli Army,Soldiers waiting at a bus stop near Tel Aviv,97,Israel,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Civilians,Civilians waiting at a bus stop near Tel Aviv,97,Israel,,,,,,,,,Hamas (Islamic Resistance Movement),,,,,,Unknown,1,,,0,1,1,1,2,Call (post-incident),,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,The perpetrator drove a bus into a crowd of people.,8,0,0,17,0,1,1,3,Minor (likely < $1 million),,The perpetrator crashed into a truck after he was shot and wounded during the police chase.,0,,,,,,,,,,,,,,,,"Multiple Palestinian groups, including HAMAS, claimed responsibility for the bus attack, saying it was carried out to avenge the death of Masoud Ayyad, the high-ranking Palestinian security official killed the day before by Israeli Apache helicopters firing antitank missiles.","Lee Hockstader, ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½Attack at bus stop kills eight Israelis; Palest","Matthew Kalman, ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½Bus driver kills eight ","Hamas armed wing phone caller assumes responsibility for bus attack, BBC Summary of World Broadcasts, February 15, 2001.",CETIS,1,0,0,1,
