,Unnamed: 0,eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
13,38796,1.98907E+11,1989,7,6,,0,,97,Israel,10,Middle East & North Africa,Tel Aviv,Tel-Aviv,31.80255,35.099968,1,1,,,1,1,1,-9,,,0,1,0,8,Unarmed Assault,,,,,19,Transportation,99,Bus (excluding tourists),,Bus passengers,97,Israel,,,,,,,,,,,,,,,,,Palestinians,,,,,,,0,,,0,,,,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,Grabbed control of steering wheel,16,1,0,27,7,0,0,,,,,1,-99,0,,,,Israel,0,,,,,,4,Hostage(s) killed (not during rescue attempt),,,,,,State Department 1997 Document,1,0,0,1,
17,48502,1.9911E+11,1991,10,11,,0,,97,Israel,10,Middle East & North Africa,Tel Aviv,Tel Aviv,32.08297,34.811886,1,0,,,1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,8,Unarmed Assault,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Military,Israeli Soldiers Waiting at Point to hitch rides,97,Israel,,,,,,,,,,,,,,,,,Palestinians,,,,,,,0,,,0,1,,,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,Truck,2,,,11,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,1,0,0,1,
18,48816,1.9911E+11,1991,10,28,,0,,97,Israel,10,Middle East & North Africa,Haifa,Tirat Karmel,32.761303,34.974643,1,0,,,1,1,0,1,1,Insurgency/Guerilla Action,0,0,0,1,Assassination,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Israeli Military,3 female Israeli soldiers,97,Israel,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,2,,,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,Truck,0,,,0,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
29,61751,1.99602E+11,1996,2,26,,0,,97,Israel,10,Middle East & North Africa,Jerusalem,Jerusalem,31.771599,35.2034,1,0,,,1,1,1,0,,,0,1,0,8,Unarmed Assault,,,,,19,Transportation,101,Bus Station/Stop,,Bus stop,97,Israel,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,1,,,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,Car,3,,,11,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
33,69313,1.99908E+11,1999,8,10,,0,,97,Israel,10,Middle East & North Africa,Central,Rehovot,31.889393,34.809902,1,1,This inicident occurred near Rehovot.,"08/10/1999: An unnamed Palestinian motorist ran down Israeli soldiers as they were hitch-hiking at a crossroads near a kibbutz located twenty miles west of Jerusalem, Israel. Six Israeli soldiers were wounded, one of them seriously before the attacker, a motorist, was shot dead by Israeli police.",1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,2,Armed Assault,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Israeli Security Forces,Israeli Defence Forces (IDF) soldiers hitch-hiking at a crossroads near a kibbutz twenty miles west of Jerusalem,97,Israel,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,1,0,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,The perpetrator used his car for this attack.,1,0,1,6,0,0,0,,,,,0,,,,,,,,,,,,,,,,"The attacker was Palestinian, from Zone A, controlled by the Palestinian Authority. It was the first Palestinian attack inside Israel since Prime Minister Ehud Barak took office in July 1999.","Six Israeli soldiers wounded in Palestinian attack, attacker shot dead Agence France Press, August 10, 1999.","Heidi J. Gleit, “7 wounded by terrorist suicide-driver. Settler shot and injured near Mevo Dotan,” The Jerusalem Post, August 11, 1",,CETIS,-9,-9,0,-9,
34,71894,2.00102E+11,2001,2,14,,0,,97,Israel,10,Middle East & North Africa,Tel Aviv,Holon,32.08297,34.811886,1,1,"The incident occurred at the Azur intersection, near the city.","02/14/2001: A Palestinian bus driver, Khalil Abu Elba, steered into a group of young Israeli soldiers and civilians at a crowded bus stop near Tel Aviv, Israel, killing eight people, injuring 17 others. Israeli police shot and captured the perpetrator who fled the scene. Family members of the perpetrator indicated that he was not a member of any militant organization, but Izz-al-Din al-Qassam Battalion, the military wing of HAMAS, said the group was assuming responsibility for the attack.",1,1,1,1,2,Other Crime Type,0,1,0,2,Armed Assault,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Israeli Army,Soldiers waiting at a bus stop near Tel Aviv,97,Israel,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Civilians,Civilians waiting at a bus stop near Tel Aviv,97,Israel,,,,,,,,,Hamas (Islamic Resistance Movement),,,,,,Unknown,1,,,0,1,1,1,2,Call (post-incident),,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,The perpetrator drove a bus into a crowd of people.,8,0,0,17,0,1,1,3,Minor (likely < $1 million),,The perpetrator crashed into a truck after he was shot and wounded during the police chase.,0,,,,,,,,,,,,,,,,"Multiple Palestinian groups, including HAMAS, claimed responsibility for the bus attack, saying it was carried out to avenge the death of Masoud Ayyad, the high-ranking Palestinian security official killed the day before by Israeli Apache helicopters firing antitank missiles.","Lee Hockstader, “Attack at bus stop kills eight Israelis; Palestinian driver rams into rush hour crowd,” The Washington Post, February 15, 2","Matthew Kalman, “Bus driver kills eight Israelis. Palestinian acted alone, officials say,” USA Today, February 15, 2","Hamas armed wing phone caller assumes responsibility for bus attack, BBC Summary of World Broadcasts, February 15, 2001.",CETIS,1,0,0,1,
47,87736,2.00807E+11,2008,7,2,,0,,97,Israel,10,Middle East & North Africa,Jerusalem,Jerusalem,31.784838,35.224613,1,0,The incident occurred on Yafo Street.,"07/02/2008: On Wednesday, on Yafo Street in Jerusalem, Israel, an armed assailant drove a front-end loader into civilians, killing four civilians, wounding 45 others, and damaging two buses and two dozen cars. There was no motive reported and Ahrar al-Jalil, Al-Aqsa Martyrs Brigade, and Popular Front for the Liberation of Palestine all claimed separate responsibility.",1,1,1,0,,,0,1,0,8,Unarmed Assault,,,,,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,,Civilians,97,Israel,,,,,,,,,,,,,,,,,Ahrar Al-Jalil (Free People of the Galilee),Ahrar Al Jalil Brigades,Al-Aqsa Martyrs Brigade,,Popular Front for the Liberation of Palestine (PFLP),,The specific motive for the attack is unknown.,0,0,0,0,-99,0,1,10,Unknown,1,10,Unknown,1,10,Unknown,0,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,A front-end loader was used in the attack.,4,0,,45,0,,1,3,Minor (likely < $1 million),,The attack caused an unknown amount of property damage to two buses and two dozen cars.,0,,,,,,,,,,,,,,,,,"National Counterterrorism Center, ""Four Civilians Killed, Forty-Five Others Wounded in Front-End Loader Attack in Jerusalem, Israel,"" Worldwide Incidents Tracking System, January 20, 2010","New York Times,""Palestinian Rams Construction Vehicle into Traffic, Killing Three,"" Lexisnexis Academic, New York Times, July 03, 2008","Maan News Agency,""Group Claiming Bulldozer Attack Warns Israel Against Retaliation in East Jerusalem,"" maannews.net, July 04, 2008.",ISVG,0,0,0,0,
49,90963,2.00903E+11,2009,3,5,,0,,97,Israel,10,Middle East & North Africa,Jerusalem,Jerusalem,31.771599,35.2034,1,0,,"03/05/2009: On Thursday, a Palestinian bulldozer driver was shot dead on Begin Highway, in Jerusalem, Israel after ramming a police car with his bulldozer. The two policemen inside the car were slightly hurt in the attack. No claim of responsibility has been reported.",1,1,1,0,,,0,1,0,8,Unarmed Assault,,,,,3,Police,23,Police Patrol (including vehicles and convoys),Israeli Police,Israeli police vehicle,97,Israel,,,,,,,,,,,,,,,,,Unknown,,,,,,The specific motive for the attack is unknown.,0,,,0,-99,0,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,A bulldozer was used in the attack.,1,0,1,2,0,0,1,,,,The attack caused an unknown amount of property damage to a police car.,0,,,,,,,,,,,,,,,,,"Deutsche Presse-Agentur (Germany), ""Bulldozer Driver Shot Dead in Jerusalem After Ramming Police,"" LexisNexis Academic, Deutsche Presse-Agentur (Germany), March 05, 2009.","National Counterterrorism Center, ""Two Police Officers Wounded in Bulldozer Attack in Jerusalem, Israel,"" Worldwide Incidents Tracking System (December 21, 2009).","Associated Press Worldstream, ""Palestinian Driver Killed After Jerusalem Rampage,"" LexisNexis Academic, Associated Press Worldstream, March 05, 2009.",ISVG,-9,-9,0,-9,
88,136065,2.01408E+11,2014,8,4,,0,,97,Israel,10,Middle East & North Africa,Jerusalem,Jerusalem,31.7716,35.203401,1,0,The incident occurred in the Shmuel HaNavi neighborhood,"08/04/2014: An assailant stole a construction excavator and proceeded to overturn a commuter bus in Shmuel HaNavi neighborhood, Jerusalem city, Jerusalem district, Israel. Two people, an Israeli civilian and the assailant, were killed, while five other individuals were injured during the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Palestinian extremists.",1,1,1,0,,,0,1,0,8,Unarmed Assault,,,,,19,Transportation,99,Bus (excluding tourists),Unknown,Bus,97,Israel,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,0,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,An excavator was used in the attack.,2,0,1,5,0,0,1,3,Minor (likely < $1 million),-99,A construction excavator and a bus were damaged in this attack.,0,,,,,,,,,,,,,,,,"Casualty numbers for this attack conflict across sources. Following GTD protocol, the majority reliable estimates are reported here.","""1 Israeli killed, 5 hurt as excavator rams Jerusalem bus,"" Agence France Presse -- English, August 4, 2014.","""Construction vehicle overturns Jerusalem bus in suspected attack, 2 dead,"" Reuters, August 4, 2014.","""Tractor hits bus, killing 1 in Jerusalem terror attack,"" Jerusalem Post, August 4, 2014.",START Primary Collection,1,0,0,1,
98,140096,2.01411E+11,2014,11,5,,0,,97,Israel,10,Middle East & North Africa,Jerusalem,Jerusalem,31.7716,35.203401,1,0,,"11/05/2014: An assailant drove a vehicle into civilians at a light rail stop in Jerusalem city, Jerusalem district, Israel. At least four people, including a police officer and the assailant, were killed and 12 others, including one citizen of the United States (US), were wounded in the attack. Hamas (Islamic Resistance Movement) claimed responsibility and stated that the incident was in retaliation for alleged abuses at Al-Aqsa Mosque.",1,1,1,0,,,0,1,0,8,Unarmed Assault,,,,,3,Police,25,Police Security Forces/Officers,Israeli Border Police,Officer: Jidan Assad,97,Israel,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Not Applicable,Civilians,97,Israel,,,,,,,,,Hamas (Islamic Resistance Movement),,,,,,Hamas (Islamic Resistance Movement) claimed responsibility for the incident and stated that the attack was carried out in retaliation to alleged abuses at Al-Aqsa Mosque.,0,,,0,1,0,1,10,Unknown,,,,,,,,9,Melee,21,Blunt Object,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,A metal crowbar and a vehicle were used in the attack.,4,0,1,12,1,0,1,3,Minor (likely < $1 million),-99,Two vehicles were damaged in this attack.,0,,,,,,,,,,,,,,,,"Casualty numbers for this incident conflict across sources. Following GTD protocol, the most recent reliable estimates are reported here.","""Arab man wounded during November Jerusalem terrorist attack dies,"" Jerusalem Post, December 8, 2014.","""Police kill Palestinian after Jerusalem car   attack   wounds 10,"" Agence France Presse -- English, November 5, 2014.","""Terror in Jerusalem: Police shoot dead driver who rammed car into light rail station,"" Jerusalem Post, November 5, 2014.",START Primary Collection,1,0,0,1,
