,Unnamed: 0,eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
23,55862,1.99404E+11,1994,4,7,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Hebron,31.530243,35.094162,1,0,,,1,1,1,-9,,,0,0,0,1,Assassination,,,,,14,Private Citizens & Property,68,Named Civilian,unknown,Ali al-Zaghal and son Mustafa,155,West Bank and Gaza Strip,,,,,,,,,,,,,,,,,Israeli settlers,,,,,,,0,,,0,1,,,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,Vehicle,0,,,2,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,1,0,0,1,
27,59537,1.99506E+11,1995,6,12,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Ramallah,31.907141,35.198219,1,1,,,1,1,0,1,1,Insurgency/Guerilla Action,0,0,0,2,Armed Assault,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",,Soldiers,97,Israel,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,5,Firearms,5,Unknown Gun Type,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,Firearm; Car,1,0,1,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
66,112788,2.01212E+11,2012,12,3,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Shavei Shomron,32.263507,35.184428,1,1,,"12/03/2012: A Palestinian motorist attacked Shin Bet (Israel Security Agency) officers near Shavei Shomron, West Bank, West Bank and Gaza Strip. The assailant crashed his vehicle into a jeep carrying the intelligence officers and attacked them with an axe, shouting ""Allahu Akbar"". The assailant, identified as Hatem Shadid, was killed and at least two officers were injured in the attack. No group claimed responsibility for the incident.",1,1,1,0,,,0,1,0,2,Armed Assault,,,,,3,Police,23,Police Patrol (including vehicles and convoys),Shin Bet,Vehicle,97,Israel,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,0,0,,,,,,,,,,9,Melee,23,Knife or Other Sharp Object,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,An axe was used in the attack.,1,0,1,2,0,0,1,4,Unknown,-99,A military jeep was damaged in this attack.,0,,,,,,,,,,,,,,,,,"""Shin Bet officers shoot dead ax-wielding Palestinian after attack,"" Jerusalem Post, December 4, 2012.","""Israeli forces kill axe-wielding Palestinian: Shin Bet,"" Agence France Presse -- English, December 3, 2012.","""Israeli soldiers   shoot   dead axe-wielding Palestinian in West Bank,"" Deutsche Presse-Agentur, December 3, 2012.",START Primary Collection,0,0,0,0,
72,122347,2.0131E+11,2013,10,17,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Rama,31.855701,35.166883,1,0,,"10/17/2013: An assailant drove a tractor into an Israel Defense Forces (IDF) base in Rama, West Bank, West Bank and Gaza Strip. The assailant was killed and one soldier was wounded. No group claimed responsibility for the incident.",1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,8,Unarmed Assault,,,,,4,Military,27,Military Barracks/Base/Headquarters/Checkpost,Israel Defense Forces (IDF),Base,155,West Bank and Gaza Strip,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,0,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,A tractor was used in the attack.,1,0,1,1,0,0,1,4,Unknown,-99,Several military vehicles were damaged in this attack.,0,,,,,,,,,,,,,,,,,"""Suspected Palestinian terrorist shot dead trying to enter IDF base in West Bank,"" Jerusalem Post, October 17, 2013.","""Palestinian killed after infiltrating Israeli army base,"" JTA, October 17, 2013.","""IDF concerned: 'Increased motivation to carry out terror attacks',"" Ynet News, October 17, 2013.",START Primary Collection,0,0,0,0,
76,128878,2.01403E+11,2014,3,15,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Bayt Umar,31.626705,35.104968,1,0,,"03/15/2014: An assailant drove a vehicle into an Israeli Border Police roadblock in Bayt Umar town, West Bank, West Bank and Gaza Strip. At least four police officers were injured in the attack. No group claimed responsibility for the incident.",1,1,1,1,4,Lack of Intentionality,0,1,0,8,Unarmed Assault,,,,,3,Police,24,Police Checkpoint,Israeli Border Police,Roadblock,97,Israel,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,1,1,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,A car was used in the attack.,0,0,0,4,0,0,0,,,,,0,,,,,,,,,,,,,,,,There is doubt that this incident meets terrorism-related criteria. Sources indicated that the driver who struck the roadblock may have done so by accident.,"""4 Border Policemen lightly injured, hit by Palestinian driver,"" Ynet News, March 15, 2014.",,,START Primary Collection,-9,-9,0,-9,
93,137331,2.01409E+11,2014,9,2,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Qalqilya,32.187788,34.974376,1,1,,"09/02/2014: An assailant drove a vehicle through an Israeli security checkpoint in an attempt to run over soldiers near Qalqilya town, West Bank, West Bank and Gaza Strip. The assailant was killed and two more people were wounded. No group claimed responsibility for the incident; however, sources attributed the attack to Palestinian extremists.",1,1,1,0,,,0,1,0,8,Unarmed Assault,,,,,4,Military,36,Military Checkpoint,Israel Defense Forces (IDF),Checkpoint,97,Israel,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Not Applicable,Civilians,97,Israel,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,8,0,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,,1,0,1,2,0,1,0,,,,,0,,,,,,,,,,,,,,,,,"""Israeli troops shoot dead Palestinian attempting to break through checkpoint,"" Xinhua News Agency, September 2, 2014.","""Arab Terrorist Shot after Attempting to Run Down Soldier,"" Israel National News, September 2, 2014.",,START Primary Collection,0,0,0,0,
95,139510,2.0141E+11,2014,10,22,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Jerusalem,31.784837,35.224613,1,0,,"10/22/2014: An assailant in a vehicle attempted to run over civilians in Jerusalem city, West Bank, West Bank and Gaza Strip. At least two people, inlcuding one citizen from the United States (US), were killed and seven others, including two citizens from the United States (US), were injured in the attack. Additionally, the assailant was killed by police as he attempted to flee. No group claimed responsibility; however, officials attributed the incident to Hamas (Islamic Resistance Movement).",1,1,1,0,,,0,1,0,8,Unarmed Assault,,,,,19,Transportation,100,Train/Train Tracks/Trolley,Jerusalem Light Rail,Ammunition Hill Tram Stop,97,Israel,14,Private Citizens & Property,68,Named Civilian,Not Applicable,Baby: Haya Zissel Braun,217,United States,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Not Applicable,Civilian,59,Ecuador,Hamas (Islamic Resistance Movement),,,,,,"The specific motive is unknown; however, Hamas issued a statement in which it claimed that this attack was in response to ""the occupation and invasion of our land.""",0,,,0,1,0,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,A Volkswagen was used in the attack.,3,1,1,7,2,0,0,,,,,0,,,,,,,,,,,,,,,,"Casualty numbers for this incident conflict across sources. Following GTD protocol, the most recent reliable estimates are reported here.","""Ecuador woman hurt in Jerusalem car attack dies: hospital,"" Agence France Presse -- English, October 26, 2014.","""Jerusalem car 'attack' kills baby at rail station,"" BBC Online, October 23, 2014.","""Driver in Jerusalem   attack   a Hamas member: Israel,"" Agence France Presse -- English, October 22, 2014.",START Primary Collection,0,1,1,1,
99,140097,2.01411E+11,2014,11,5,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Alon Shvut,31.653435,35.125639,1,1,The incident occurred near the Gush Etzion junction.,"11/05/2014: An assailant drove a vehicle into Israel Defense Forces (IDF) soldiers in Gush Etsyon area, West Bank, West Bank and Gaza Strip. Three soldiers were wounded in the attack. Hamam Mesalmeh, a Palestinian extremist, claimed responsibility for the incident, stating the attack was in retaliation for Israel's military operations in summer 2014.",1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,8,Unarmed Assault,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Israel Defense Forces (IDF),Soldiers,97,Israel,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,"A Palestinian extremist, identified as Hamam Mesalmeh, claimed responsibility for the incident and stated that the attack was carried out in retaliation to Israel's military operations in summer 2014.",0,,,0,1,1,1,8,Personal claim,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,,0,0,0,3,0,0,0,,,,,0,,,,,,,,,,,,,,,,,"""Palestinian driver hits Israeli soldiers in West Bank,"" Agence France Presse -- English, November 5, 2014.","""Three IDF soldiers injured by Palestinian van in feared West Bank terror attack,"" Jerusalem Post, November 5, 2014.","""Driver Who Rammed Into IDF Soldiers in Gush Etzion Turns Himself in,"" Algemeiner.com, November 6, 2014.",START Primary Collection,0,0,0,0,
103,145318,2.01503E+11,2015,3,6,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Jerusalem,31.784837,35.224613,1,0,The incident occurred at a tram stop on Shimon HaTzadik street on the border between East and West Jerusalem,"03/06/2015: An assailant rammed a vehicle near Israeli Border Police in Jerusalem city, West Bank and Gaza Strip. The assailant then continued to a nearby light rail station, where he struck a bicyclist. Finally, the assailant exited the vehicle and attempted to attack police before being shot by security forces. In addition to the assailant, five people, including four police officers and a civilian, were wounded in the attack. A Palestinian extremist, identified as Mohammad Salima, claimed responsibility for the incident.",1,1,1,0,,,0,1,0,2,Armed Assault,,,,,3,Police,25,Police Security Forces/Officers,Israeli Border Police,Officers,97,Israel,19,Transportation,100,Train/Train Tracks/Trolley,Jerusalem Light Rail,Train Station,97,Israel,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,1,1,7,"Posted to website, blog, etc.",,,,,,,,9,Melee,23,Knife or Other Sharp Object,9,Melee,21,Blunt Object,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,"A knife, a tire iron, and a vehicle were used in the attack.",0,0,0,6,0,1,0,,,,,0,,,,,,,,,,,,,,,,,"""Palestinian Assailant Injures 5 Israelis in Car Attack,"" New York Times, March 6, 2015.","""Palestinian rams car into pedestrians;  ISRAEL,"" i-Independent Print Ltd, March 7, 2015.","""Palestinian driver rams into Jerusalem tram stop, injuring police,"" Melbourne Age, March 7, 2015.",START Primary Collection,0,0,0,0,
105,146886,2.01504E+11,2015,4,15,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Jerusalem,31.784837,35.224613,1,0,The incident occurred in the French Hill area.,"04/15/2015: An assailant rammed his vehicle into a bus stop in French Hill neighborhood, Jerusalem city, West Bank, West Bank and Gaza Strip. A civilian was killed and two others, including the assailant, were injured in the attack. No group claimed responsibility for the incident; however, sources identified the assailant as a Palestinian extremist.",1,1,1,0,,,0,1,0,8,Unarmed Assault,,,,,19,Transportation,101,Bus Station/Stop,Unknown,Bus Stop,155,West Bank and Gaza Strip,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,0,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,,1,0,0,2,0,1,0,,,,,0,,,,,,,,,,,,,,,,,"""Police spokesman: Two civilians that were hit by car were victims of terrorist attack,"" Jerusalem Post, April 16, 2015.","""Israeli dies after possible J'lem car ramming attack,"" Haaretz, April 16, 2015.","""Second victim of Jerusalem terror attack still in serious condition,"" The Times Of Israel, April 19, 2015.",START Primary Collection,0,0,0,0,
